"","Package","Version"
"openxlsx","openxlsx","4.1.0"
"parallel","parallel","3.5.1"
"pbkrtest","pbkrtest","0.4-7"
"pillar","pillar","1.3.0"
"pkgconfig","pkgconfig","2.0.2"
"plogr","plogr","0.2.0"
"plyr","plyr","1.8.4"
"polynom","polynom","1.3-9"
"prabclus","prabclus","2.2-6"
"processx","processx","3.2.0"
"prodlim","prodlim","2018.04.18"
"ps","ps","1.2.1"
"purrr","purrr","0.2.5"
"quantmod","quantmod","0.4-13"
"quantreg","quantreg","5.36"
"R6","R6","2.3.0"
"RColorBrewer","RColorBrewer","1.1-2"
"Rcpp","Rcpp","1.0.0"
"RcppEigen","RcppEigen","0.3.3.5.0"
"RcppRoll","RcppRoll","0.3.0"
"readr","readr","1.2.1"
"readxl","readxl","1.1.0"
"recipes","recipes","0.1.4"
"rematch","rematch","1.0.1"
"reprex","reprex","0.2.1"
"reshape2","reshape2","1.4.3"
"rio","rio","0.5.16"
"rlang","rlang","0.3.0.1"
"rlist","rlist","0.4.6.1"
"rmarkdown","rmarkdown","1.10"
"robustbase","robustbase","0.93-3"
"rpart","rpart","4.1-13"
"rprojroot","rprojroot","1.3-2"
"rstudioapi","rstudioapi","0.8"
"rvest","rvest","0.3.2"
"scales","scales","1.0.0"
"scatterplot3d","scatterplot3d","0.3-41"
"selectr","selectr","0.4-1"
"sp","sp","1.3-1"
"SparseM","SparseM","1.77"
"spatial","spatial","7.3-11"
"splines","splines","3.5.1"
"SQUAREM","SQUAREM","2017.10-1"
"stats","stats","3.5.1"
"stats4","stats4","3.5.1"
"stringi","stringi","1.2.4"
"stringr","stringr","1.3.1"
"survival","survival","2.42-3"
"tcltk","tcltk","3.5.1"
"tibble","tibble","1.4.2"
"tidyr","tidyr","0.8.2"
"tidyselect","tidyselect","0.2.5"
"tidyverse","tidyverse","1.2.1"
"timeDate","timeDate","3043.102"
"tinytex","tinytex","0.9"
"tools","tools","3.5.1"
"translations","translations","3.5.1"
"trimcluster","trimcluster","0.1-2.1"
"TTR","TTR","0.23-4"
"utf8","utf8","1.1.4"
"utils","utils","3.5.1"
"viridis","viridis","0.5.1"
"viridisLite","viridisLite","0.3.0"
"whisker","whisker","0.3-2"
"withr","withr","2.1.2"
"xfun","xfun","0.4"
"XML","XML","3.98-1.16"
"xml2","xml2","1.2.0"
"xts","xts","0.11-2"
"yaml","yaml","2.2.0"
"zip","zip","1.0.0"
"zoo","zoo","1.8-4"
